aX,aY,aZ,gX,gY,gZ
0.935,0.049,-0.104,6.836,-28.259,-7.141
0.950,0.067,-0.107,4.395,-28.259,-6.287
0.938,0.078,-0.125,3.235,-28.381,-5.615
0.973,0.084,-0.126,5.676,-26.184,-7.507
0.974,0.086,-0.143,10.498,-22.339,-10.620
0.992,0.069,-0.172,20.813,-13.733,-18.555
0.979,0.073,-0.163,28.503,-2.686,-21.912
0.967,0.088,-0.198,31.311,0.244,-23.132
0.988,0.096,-0.197,31.677,0.732,-23.560
0.989,0.098,-0.215,26.062,-4.517,-23.926
0.997,0.098,-0.232,21.179,-8.240,-22.827
0.960,0.108,-0.229,12.390,-14.893,-21.606
0.968,0.111,-0.229,5.432,-21.301,-20.081
0.971,0.139,-0.221,3.479,-22.583,-19.470
0.949,0.135,-0.219,2.502,-23.865,-20.874
0.948,0.143,-0.205,5.920,-23.865,-20.325
0.944,0.155,-0.217,7.202,-21.973,-19.348
0.937,0.151,-0.231,13.855,-21.667,-21.667
0.946,0.155,-0.227,17.761,-21.606,-21.912
0.913,0.156,-0.227,21.912,-18.005,-19.104
0.912,0.142,-0.262,26.978,-15.808,-19.897
0.915,0.143,-0.283,28.992,-14.587,-19.348
0.913,0.130,-0.275,28.198,-13.733,-17.822
0.909,0.142,-0.292,25.452,-15.015,-16.846
0.913,0.136,-0.304,22.095,-14.221,-14.160
0.909,0.122,-0.292,16.296,-16.052,-12.817
0.900,0.113,-0.275,10.376,-16.235,-11.169
0.906,0.124,-0.282,9.216,-14.587,-11.230
0.908,0.104,-0.290,7.690,-10.010,-11.658
0.915,0.118,-0.255,6.958,-5.981,-11.597
0.905,0.111,-0.259,6.714,-4.578,-11.230
0.897,0.129,-0.254,8.484,-0.610,-11.963
0.897,0.115,-0.239,8.667,2.991,-12.817
0.906,0.123,-0.227,8.606,3.662,-12.878
0.916,0.123,-0.236,8.728,4.883,-11.292
0.917,0.138,-0.208,7.935,3.052,-11.169
0.906,0.117,-0.226,6.470,2.380,-9.766
0.928,0.124,-0.201,4.150,0.549,-9.644
0.945,0.107,-0.212,5.127,-0.671,-9.766

1.692,-0.048,0.886,-2.930,98.511,39.185
1.869,-0.095,1.055,19.775,49.255,6.287
2.174,-0.221,1.447,81.421,-85.754,-87.952
2.142,-0.157,1.744,162.964,-348.877,-214.783
1.849,-0.128,1.859,178.223,-545.410,-276.489
0.518,-0.341,1.930,171.570,-925.781,-368.652
-0.541,-0.797,1.805,142.822,-1250.000,-392.761
-0.705,-0.739,1.742,123.230,-1372.620,-380.615
-0.764,-0.553,1.792,72.937,-1497.986,-366.150
-0.920,-0.695,2.110,122.070,-1452.148,-421.631
-0.965,-0.669,1.883,207.581,-1394.836,-464.355
-1.208,-0.613,0.825,414.673,-1212.769,-525.635
-1.757,-0.461,-0.444,547.485,-994.263,-499.146
-2.419,-0.371,-1.103,550.598,-907.104,-449.341
-3.453,-0.058,-2.411,422.729,-815.063,-258.728
-3.564,-0.093,-3.094,217.957,-641.052,-27.222
-3.409,-0.285,-3.128,136.292,-477.539,58.350
-2.700,-0.906,-2.652,10.742,-75.317,139.648
-2.097,-1.306,-2.072,-118.713,257.874,129.700
-1.875,-1.334,-1.837,-179.993,377.075,92.957
-1.770,-1.262,-1.493,-264.404,612.427,-17.883
-2.017,-0.915,-1.521,-293.030,810.364,-131.653
-2.249,-0.691,-1.691,-302.246,891.235,-168.884
-2.650,-0.323,-1.789,-351.318,1014.282,-136.597
-2.817,-0.138,-1.316,-409.363,1131.958,14.099
-2.976,-0.210,-1.172,-437.500,1177.063,123.230
-2.473,-0.809,-0.011,-545.593,1208.801,334.900
-1.877,-1.278,0.687,-609.558,1107.910,451.477
-1.571,-1.377,0.901,-599.487,1010.498,463.196
-0.654,-1.149,1.189,-533.813,842.163,464.966
0.033,-0.861,1.418,-451.172,680.664,440.430
1.956,0.006,2.131,-383.728,594.727,406.982
3.969,0.743,3.508,-162.964,349.060,243.713
3.969,0.999,3.734,119.019,-300.598,-96.069
2.562,-0.004,3.078,219.055,-625.793,-263.672
