aX,aY,aZ,gX,gY,gZ
-1.018,0.726,-0.507,-86.243,-28.137,72.510
-0.937,0.698,-0.401,-99.182,-30.029,83.679
-0.785,0.684,-0.209,-115.356,-26.978,100.403
-0.679,0.714,-0.075,-114.380,-37.781,109.253
-0.610,0.739,0.007,-110.535,-44.739,113.831
-0.435,0.779,0.076,-95.520,-57.739,120.789
-0.266,0.829,0.092,-74.463,-70.129,121.582
-0.180,0.872,0.097,-64.819,-76.111,118.774
-0.026,0.895,0.095,-44.495,-80.139,107.605
0.101,0.941,0.090,-27.710,-69.214,95.886
0.158,0.993,0.097,-19.653,-63.538,90.698
0.239,1.010,0.069,-9.338,-55.176,82.092
0.266,1.042,0.050,-4.822,-44.250,70.862
0.323,1.073,0.087,-2.075,-40.039,62.866
0.354,1.073,0.090,3.418,-35.767,50.476
0.351,1.069,0.107,11.414,-32.349,41.199
0.370,1.086,0.126,16.174,-32.593,35.522
0.367,1.104,0.097,24.170,-34.119,27.649
0.376,1.108,0.078,28.442,-36.499,21.057
0.392,1.111,0.039,27.710,-36.072,19.653
0.373,1.101,-0.005,23.071,-29.724,15.503
0.350,1.093,-0.013,14.832,-21.606,11.841
0.343,1.105,-0.024,11.108,-17.761,11.292
0.335,1.068,-0.016,0.793,-8.850,10.986
0.329,1.072,-0.021,-5.127,-3.845,11.230
0.283,1.033,0.011,-12.939,6.775,12.756
0.254,1.007,0.037,-18.494,16.357,15.625
0.236,0.988,0.054,-19.653,18.127,16.663
0.241,0.961,0.089,-19.592,13.184,16.113
0.229,0.940,0.089,-17.883,1.404,12.695
0.238,0.919,0.090,-16.235,-4.089,10.254
0.260,0.886,0.107,-9.888,-12.207,4.089
0.254,0.899,0.124,-2.747,-15.808,-4.517
0.252,0.890,0.123,3.174,-12.878,-9.094
0.198,0.902,0.107,14.893,1.221,-14.648
0.193,0.934,0.064,21.729,11.597,-15.747
0.173,0.945,0.050,22.583,12.573,-18.066
0.142,0.953,0.046,21.362,10.681,-19.470
0.113,0.970,0.029,18.188,4.578,-16.296

2.058,-0.686,0.003,-165.039,-130.127,489.075
2.432,-0.692,-0.021,-154.541,-133.362,458.008
3.177,-0.722,-0.040,-135.986,-107.117,343.018
3.600,-0.724,0.169,-142.700,-38.513,174.377
3.677,-0.721,0.356,-139.038,-12.512,81.421
3.573,-0.856,0.650,-111.389,4.761,-99.243
3.413,-0.870,0.748,-52.856,2.014,-252.991
3.320,-0.895,0.762,-15.259,15.320,-320.740
3.198,-1.008,0.660,62.683,92.468,-451.782
2.618,-0.951,0.740,144.409,160.339,-565.857
2.442,-0.981,0.678,180.847,182.800,-603.760
2.013,-1.011,0.537,246.155,221.130,-683.167
1.473,-0.994,0.448,298.279,244.202,-742.371
1.237,-1.001,0.492,319.336,226.013,-761.841
0.750,-0.915,0.484,361.511,171.265,-787.231
0.303,-0.844,0.315,396.851,159.424,-786.011
0.076,-0.775,0.243,411.865,166.382,-770.935
-0.353,-0.680,0.070,430.542,185.059,-723.694
-0.806,-0.570,-0.076,442.139,185.730,-654.907
-0.985,-0.515,-0.179,443.054,179.565,-612.061
-1.321,-0.470,-0.612,442.261,149.353,-533.508
-1.857,-0.256,-0.936,396.545,117.981,-460.205
-2.201,-0.227,-1.242,371.582,97.717,-412.964
-2.644,0.221,-1.603,283.447,31.128,-272.949
-2.640,0.263,-1.790,159.546,-5.066,-139.282
-2.572,0.194,-1.793,95.642,-16.418,-85.632
-2.480,0.128,-1.603,-32.349,-25.208,4.578
-2.396,-0.002,-1.188,-131.836,-1.709,84.656
-2.367,-0.076,-0.946,-165.527,12.146,120.850
-2.397,-0.038,-0.616,-206.421,44.312,196.350
-2.303,0.047,-0.388,-227.722,62.622,275.452
-2.132,0.050,-0.359,-232.056,57.068,314.514
-1.826,0.060,-0.272,-245.911,21.240,381.226
-1.567,0.051,-0.204,-266.174,-9.460,418.518
-1.433,0.068,-0.166,-271.851,-17.395,439.209
-1.115,-0.043,-0.085,-288.879,-51.636,485.168
-0.814,-0.112,-0.041,-301.208,-107.117,532.410
-0.581,-0.184,-0.014,-304.016,-129.211,555.481
-0.145,-0.264,-0.073,-310.547,-171.509,603.699
0.237,-0.513,-0.169,-316.895,-219.666,647.766
0.353,-0.596,-0.167,-314.087,-247.681,678.467
0.719,-0.986,-0.207,-301.086,-281.311,745.117
